,,,MTBPS,,,,,,,            Budget Review,,,,,,
Indicator,Estimate,2024,,2025,,2026,Average,,Estimate,,2024,2025,2026,,,Average
Real GDP growth,0.8,1,,1.6,,1.8,1.4,,0.6,,1.3,1.6,1.8,,,1.6
Household consumption,0.8,1.4,,1.5,,1.7,1.6,,0.7,,1.3,1.8,1.7,,,1.6
Government consumption,0.6,-3.2,,-0.5,,0.2,-1.2,,1.8,,-0.7,-0.2,-0.2,,,-0.4
Gross fixed capital formation,6.2,3.6,,4.6,,3.4,3.9,,4.2,,3.7,4,3.6,,,3.8
Exports,4.2,2.1,,2.6,,3.1,2.6,,3.2,,2.1,2.5,3.2,,,2.6
Imports,7.1,2.1,,2.7,,2.9,2.6,,4.8,,1.9,2.6,2.6,,,2.4
CPI inflation,6,4.9,,4.6,,4.5,4.7,,6,,4.9,4.6,4.6,,,4.7
Nominal GDP growth,4.8,5.4,,6.4,,6.4,6.1,,5.2,,5.4,6.2,6.4,,,6
Current account (% of GDP),-2.4,-3,,-3,,-3.1,-3,,-1.8,,-2.8,-3,-3,,,-2.9
